time,event_type,event_num,Event_Abnormal1,Detection_Abnormal1,Event_Abnormal2,Detection_Judgement2,Detection_Abnormal2,index,voltage11,voltage12,voltage13,current11,current12,current13,power11,power12,power13,powerout1,torque1,frequence1,motor_speed1,slip_rate1,heigh1,weight1,voltage21,voltage22,voltage23,current21,current22,current23,power21,power122,power23,powerout2,torque2,frequence2,motor_speed2,slip_rate2,heigh2,weight2
19:45.8,0,1,0,0,0,0,0,826036,0.069753376,0.034387826,0.044550674,0.020986614,0.028101316,0.024206551,-0.000365611,0.000336998,-0.000321102,0,0,0,0,1,0,0,11.95253632,12.12153101,12.88469052,168.8576216,157.5537803,164.2132209,1406.328309,1232.757916,1536.149434,1101.028331,236.887999,2.254359832,0,0.015595515,0.054240324,200000
19:45.8,0,1,0,0,0,0,0,826037,0.069040248,0.033621854,0.04419849,0.021534183,0.027788876,0.024246595,-0.000394224,0.000308385,-0.000302026,0,0,0,0,1,0,0,11.85445582,12.83714912,12.37595951,159.4026216,160.7830353,170.8841015,1210.984839,1452.114988,1529.264663,1106.166415,237.4439069,2.259510451,0,0.015566304,0.055353616,200000
19:45.8,0,1,0,0,0,0,0,826038,0.06835779,0.034311999,0.044139519,0.021216485,0.028273401,0.024406114,-0.000384686,0.000298847,-0.000295668,0,0,0,0,1,0,0,12.62770222,12.73808499,11.8123282,155.6472227,170.7076239,164.9425214,1319.048754,1598.203352,1286.629921,1109.724874,237.9310127,2.262011087,0,0.015510871,0.056468202,200000
19:45.8,0,1,0,0,0,0,0,826039,0.068661942,0.034764484,0.04419849,0.021078863,0.028135817,0.024722064,-0.000397403,0.00028613,-0.00032746,0,0,0,0,1,0,0,13.04982606,12.0197544,12.25281971,165.0137851,171.0784296,155.5983267,1578.803296,1425.99752,1224.682656,1117.680463,239.02735,2.267722155,0,0.015486657,0.05758563,200000
19:45.8,0,1,0,0,0,0,0,826040,0.068167006,0.034311999,0.045246821,0.021216485,0.028376152,0.023964882,-0.000394224,0.000305206,-0.000321102,0,0,0,0,1,0,0,12.46376221,11.9510894,13.04197277,171.8381999,160.7073714,159.6288944,1560.541789,1218.834119,1474.851041,1125.254898,239.0987347,2.282363948,0,0.015467353,0.058710294,200000
19:45.8,0,1,0,0,0,0,0,826041,0.068623997,0.034083503,0.045590908,0.021668913,0.028239068,0.023843129,-0.000435554,0.000302026,-0.000314743,0,0,0,0,1,0,0,11.85120858,12.78432807,12.89802147,165.422102,157.142833,170.400296,1301.082971,1348.744218,1632.144627,1133.428413,240.9859175,2.281048925,0,0.015514742,0.059834257,200000
19:45.8,0,1,0,0,0,0,0,826042,0.067975687,0.034614313,0.045073792,0.021935891,0.028273401,0.024045709,-0.000448271,0.000311564,-0.000314743,0,0,0,0,1,0,0,12.31012778,13.17780794,12.10158776,156.0731881,166.9273169,170.3713753,1241.876317,1616.562064,1443.175678,1139.37909,242.1541717,2.282037447,0,0.015547176,0.060958669,200000
19:45.8,0,1,0,0,0,0,0,826043,0.067629948,0.034463487,0.045246821,0.021891621,0.028478531,0.024604058,-0.000467346,0.000311564,-0.000362432,0,0,0,0,1,0,0,13.08990451,12.52367968,12.00471833,160.6299594,173.2140603,159.3611769,1497.338461,1578.945592,1225.944834,1139.777311,241.3803892,2.290097416,0,0.015523273,0.062087081,200000
19:45.8,0,1,0,0,0,0,0,826044,0.067049755,0.033621854,0.045648004,0.021443892,0.028512576,0.024206551,-0.000441912,0.000282951,-0.000352894,0,0,0,0,1,0,0,12.88752555,11.89765366,12.85572769,170.9559178,165.4423037,156.2146963,1630.766703,1296.752506,1362.96152,1136.632227,239.7759245,2.298894455,0,0.015452339,0.063219908,200000
19:45.8,0,1,0,0,0,0,0,826045,0.066738256,0.032996277,0.045875676,0.021579186,0.028884422,0.024286573,-0.000429195,0.00028613,-0.000336998,0,0,0,0,1,0,0,12.06146535,12.41502879,13.18513695,169.7384622,155.8889973,166.5409877,1410.905098,1249.493632,1622.767175,1134.758852,238.6586056,2.305733369,0,0.015402379,0.064356163,200000
19:45.8,0,1,0,0,0,0,0,826046,0.066542829,0.033153778,0.046215082,0.021443892,0.029085243,0.023964882,-0.000403762,0.000289309,-0.000324281,0,0,0,0,1,0,0,12.08469443,13.16163607,12.48087947,158.2492833,161.6636439,172.7016416,1209.510475,1525.740715,1562.724697,1139.114691,238.8844857,2.312399198,0,0.015403962,0.065495702,200000
19:45.8,0,1,0,0,0,0,0,826047,0.066621068,0.033310534,0.045533741,0.021032789,0.029350867,0.024326485,-0.000387865,0.000295668,-0.000336998,0,0,0,0,1,0,0,12.98515373,12.87006894,11.93956814,156.2487992,172.5886052,164.3840278,1383.650872,1645.998293,1280.833374,1142.555613,239.0749355,2.317509697,0,0.015392528,0.066637772,200000
19:45.8,0,1,0,0,0,0,0,826048,0.066894187,0.032917244,0.045361807,0.021032789,0.029051869,0.024326485,-0.000378328,0.000295668,-0.000333819,0,0,0,0,1,0,0,13.25580242,12.05428395,12.58381997,167.4802446,170.6508762,155.5024315,1649.69817,1409.777628,1271.323675,1148.750565,241.1972017,2.309559797,0,0.015386812,0.067775931,200000
19:45.8,0,1,0,0,0,0,0,826049,0.06658196,0.032917244,0.045648004,0.021124837,0.029051869,0.023843129,-0.000362432,0.00028613,-0.000311564,0,0,0,0,1,0,0,12.45804354,12.18838052,13.3400328,172.2038376,158.8618851,162.2353044,1551.575894,1223.008885,1564.232311,1151.763971,241.138881,2.316061191,0,0.015337032,0.068917351,200000
19:45.8,0,1,0,0,0,0,0,826050,0.065992554,0.033075121,0.044609102,0.021534183,0.029151876,0.024525072,-0.000406941,0.000282951,-0.000311564,0,0,0,0,1,0,0,11.95071564,13.13831204,12.94716013,162.6138901,158.0841848,172.3493646,1262.572453,1428.051733,1656.699669,1154.819776,241.5334066,2.318394196,0,0.015329082,0.07005993,200000
