time,event_type,event_num,Event_Abnormal1,Detection_Abnormal1,Event_Abnormal2,Detection_Judgement2,Detection_Abnormal2,index,voltage11,voltage12,voltage13,current11,current12,current13,power11,power12,power13,powerout1,torque1,frequence1,motor_speed1,slip_rate1,heigh1,weight1,voltage21,voltage22,voltage23,current21,current22,current23,power21,power122,power23,powerout2,torque2,frequence2,motor_speed2,slip_rate2,heigh2,weight2
01:38.1,0,1,0,0,0,0,0,1664557,0.033699235,0.029671202,0.037434146,0.036349882,0.044725868,0.035512899,-0.000292489,-0.000375149,0.000476884,0,0,0,0,1,0,0,40.90244941,41.24584145,41.22466866,131.6661689,127.5344169,128.8007095,3309.90552,3150.130913,3353.740153,3062.32516,245.6042228,5.97743713,119.0657508,0.004040124,0.028489067,9729.877031
01:38.1,0,1,0,0,0,0,0,1664558,0.032519197,0.030020287,0.037573049,0.03624297,0.045393295,0.035512899,-0.000289309,-0.000406941,0.000473704,0,0,0,0,1,0,0,41.4033801,41.26379629,40.6957071,128.6476199,128.2114069,127.7399352,3284.84217,3245.334731,3169.618337,3027.527113,242.4169638,5.986924452,119.2604423,0.003992424,0.031476601,10812.32037
01:38.1,0,1,0,0,0,0,0,1664559,0.033310534,0.03036536,0.037573049,0.036108885,0.04575517,0.035812132,-0.000298847,-0.000406941,0.00045145,0,0,0,0,1,0,0,40.49531976,41.54383782,40.82724785,129.5604424,129.4551077,131.4142097,3230.105751,3346.105421,3396.584999,3112.958753,249.295518,5.986924452,119.2422817,0.004144092,0.034463681,11443.46758
01:38.1,0,1,0,0,0,0,0,1664560,0.033388636,0.03036536,0.037642308,0.03664228,0.045966706,0.035649225,-0.000273413,-0.000429195,0.000422837,0,0,0,0,1,0,0,41.12587717,40.29740848,40.8585724,134.2120601,131.5484341,131.7936056,3565.625928,3311.188458,3428.741581,3216.920954,259.5095104,5.944474569,118.3745915,0.004330912,0.037429024,12900.60132
01:38.1,0,1,0,0,0,0,0,1664561,0.033388636,0.030106926,0.037364501,0.037168021,0.045649034,0.035348613,-0.000295668,-0.000397403,0.000413299,0,0,0,0,1,0,0,40.63943239,41.51901922,39.9734058,133.9691297,135.9014521,135.5724027,3489.270815,3699.218432,3528.979681,3346.086602,270.8490488,5.925432956,117.9726254,0.004523161,0.040384298,13167.8735
01:38.1,0,1,0,0,0,0,0,1664562,0.033466556,0.029139735,0.037014311,0.036879791,0.045924477,0.035458222,-0.000308385,-0.00036879,0.000394224,0,0,0,0,1,0,0,40.17774256,40.5329154,41.09326597,140.8978865,136.3918496,140.4346086,3806.621516,3604.679232,3925.981921,3539.724269,286.9974213,5.91742202,117.7776327,0.004823111,0.043334687,13985.12569
01:38.1,0,1,0,0,0,0,0,1664563,0.034538982,0.030451017,0.03623198,0.036589291,0.046093162,0.034878935,-0.000330639,-0.000422837,0.000349715,0,0,0,0,1,0,0,40.98181354,40.56641113,39.40308385,144.4756181,147.1254005,142.7376868,4087.205785,4134.92698,3801.711702,3750.876682,306.4238293,5.875122822,116.8911503,0.005202497,0.046262869,15870.8273
01:38.1,0,1,0,0,0,0,0,1664564,0.034387826,0.031043999,0.036447008,0.036879791,0.046616371,0.034934519,-0.000349715,-0.000432375,0.000359252,0,0,0,0,1,0,0,39.41844699,40.4073385,40.79795751,150.6532378,148.2307707,155.2994259,4129.958379,4140.660969,4584.910641,4005.785718,329.6228409,5.835183753,116.0491056,0.005608816,0.049169958,17288.67959
01:38.1,0,1,0,0,0,0,0,1664565,0.034538982,0.031460716,0.036160019,0.037011083,0.046051049,0.03485111,-0.000317922,-0.000429195,0.000333819,0,0,0,0,1,0,0,41.12889959,40.1556523,39.37510213,162.7260461,161.5470812,155.0643011,4961.379125,4686.317876,4343.872744,4354.248074,359.23595,5.822935091,115.7456715,0.006122602,0.052069446,18635.21597
01:38.1,0,1,0,0,0,0,0,1664566,0.034311999,0.031625865,0.035652231,0.037011083,0.046198278,0.03485111,-0.000311564,-0.000403762,0.000314743,0,0,0,0,1,0,0,38.73147746,41.18342295,39.99467088,166.2034423,168.0036178,174.8556873,4691.558401,5191.057098,5348.400685,4729.797558,394.3437567,5.765834982,114.5351965,0.006777016,0.05493861,21715.92196
