time,event_type,event_num,Event_Abnormal1,Detection_Abnormal1,Event_Abnormal2,Detection_Judgement2,Detection_Abnormal2,index,voltage11,voltage12,voltage13,current11,current12,current13,power11,power12,power13,powerout1,torque1,frequence1,motor_speed1,slip_rate1,heigh1,weight1,voltage21,voltage22,voltage23,current21,current22,current23,power21,power122,power23,powerout2,torque2,frequence2,motor_speed2,slip_rate2,heigh2,weight2
17:40.4,0,1,0,0,0,0,0,735073,0.035725214,0.029406669,0.040956207,0.034431033,0.045264883,0.036668746,-0.000251159,-0.000219367,0.000766193,0,0,0,0,1,0,0,40.24200337,41.26968953,39.81192892,133.5865069,136.1843076,140.098923,3480.296632,3791.184427,3728.169303,3435.484248,282.1912437,5.840329501,116.2561161,0.004712696,0.02573471,12249.68255
17:40.4,0,1,0,0,0,0,0,735074,0.035358792,0.030193316,0.041019754,0.034346401,0.045436018,0.036800791,-0.000254338,-0.000228904,0.000775731,0,0,0,0,1,0,0,40.46906622,40.49696501,40.82542814,135.7650684,132.293094,131.5373811,3690.275974,3400.393855,3564.69272,3330.817324,270.3469459,5.909353687,117.6523833,0.004524103,0.028681961,11450.68954
17:40.4,0,1,0,0,0,0,0,735075,0.035725214,0.030193316,0.040508585,0.034487339,0.045585233,0.037194113,-0.000257517,-0.000197112,0.000766193,0,0,0,0,1,0,0,40.71791434,40.92080821,39.76301324,131.757711,133.8199206,132.9865716,3494.715118,3657.794956,3440.050811,3311.062945,267.9660234,5.92651437,117.9937728,0.004526393,0.031637765,12283.34846
17:40.4,0,1,0,0,0,0,0,735076,0.035725214,0.030106926,0.041587311,0.034431033,0.046008897,0.037089635,-0.000257517,-0.000184395,0.000782089,0,0,0,0,1,0,0,39.94806932,40.50924659,40.76268708,135.075806,131.4252453,134.4649732,3563.405468,3423.050948,3721.355936,3347.060028,271.7822458,5.907213542,117.6017543,0.004591983,0.034583748,13217.51338
17:40.4,0,1,0,0,0,0,0,735077,0.035943274,0.031043999,0.042023444,0.034204882,0.046093162,0.03727228,-0.000241621,-0.00020347,0.000785269,0,0,0,0,1,0,0,40.97835629,40.47169368,39.85332308,134.8261143,135.4689379,133.0118788,3744.095388,3651.606224,3468.178507,3396.516466,276.5739237,5.891018695,117.2718768,0.004655367,0.037521468,13459.75233
17:40.4,0,1,0,0,0,0,0,735078,0.036660776,0.030959983,0.042821623,0.033776769,0.046533053,0.037141911,-0.00024798,-0.000178037,0.000797985,0,0,0,0,1,0,0,39.61523847,41.17767164,40.11786589,134.5495549,133.9188239,137.3251312,3497.903203,3719.932924,3782.833552,3439.552887,280.1045447,5.891018695,117.2608987,0.004748544,0.040458913,13376.10446
17:40.4,0,1,0,0,0,0,0,735079,0.036447008,0.031294695,0.042577623,0.033661686,0.046720309,0.03674803,-0.000241621,-0.000146244,0.000775731,0,0,0,0,1,0,0,40.63276335,39.50422579,40.41651113,138.3115395,135.3300038,133.6326739,3894.216909,3505.804244,3639.063889,3450.981607,282.609101,5.858485403,116.6078755,0.004795032,0.043379999,14149.96093
17:40.4,0,1,0,0,0,0,0,735080,0.035579098,0.031127789,0.043185038,0.0334013,0.04669954,0.036509662,-0.000216187,-0.000187574,0.000794806,0,0,0,0,1,0,0,40.24610947,41.15107254,39.44180325,133.6047182,135.9612798,137.234951,3556.268704,3821.748085,3651.476171,3448.183993,283.8018583,5.828971256,116.0236646,0.004767226,0.04628645,14159.88888
17:40.4,0,1,0,0,0,0,0,735081,0.035211155,0.031790156,0.043664887,0.033138867,0.046844731,0.03645648,-0.000222546,-0.000238442,0.000817061,0,0,0,0,1,0,0,39.86245543,40.29225159,40.73931501,137.9364166,132.9745581,134.7983261,3752.186579,3488.074754,3774.744141,3444.364337,282.8818398,5.841388093,116.2720683,0.00475652,0.049199124,13310.03613
17:40.4,0,1,0,0,0,0,0,735082,0.035137104,0.032278013,0.043485564,0.03325576,0.047298144,0.036349882,-0.000263876,-0.00024798,0.00077891,0,0,0,0,1,0,0,40.74131866,40.3428,39.3786478,134.2167598,136.9748479,134.5672288,3694.067428,3799.103238,3498.799101,3436.796944,281.1655757,5.864279422,116.724792,0.004781461,0.052123139,13011.11646
17:40.4,0,1,0,0,0,0,0,735083,0.03468948,0.032278013,0.043365604,0.032903837,0.047625188,0.036269728,-0.00024798,-0.000270234,0.000759835,0,0,0,0,1,0,0,39.51413277,40.52802264,40.43112336,136.6386214,132.8206068,137.5434889,3600.501471,3552.621472,3883.898634,3450.558129,283.1493043,5.846625051,116.3711246,0.004800859,0.055038295,13897.32311
17:40.4,0,1,0,0,0,0,0,735084,0.034839327,0.032758605,0.043185038,0.032933308,0.047706599,0.035947324,-0.000257517,-0.000282951,0.000747118,0,0,0,0,1,0,0,40.82019673,40.08537275,39.83755019,136.865954,136.9219659,133.2591612,3890.097736,3675.798654,3517.862919,3465.897835,285.6010689,5.822197415,115.8850227,0.004799954,0.057941273,14179.1889
17:40.4,0,1,0,0,0,0,0,735085,0.034083503,0.031871984,0.043485564,0.032815267,0.047400588,0.03570361,-0.000251159,-0.000282951,0.000747118,0,0,0,0,1,0,0,39.55563477,41.10885128,39.77693031,134.0457952,133.9379933,137.8113299,3472.082586,3780.230685,3775.273162,3448.527082,283.4925845,5.836101116,116.1617964,0.004799659,0.060851185,13322.16338
17:40.4,0,1,0,0,0,0,0,735086,0.034538982,0.031377815,0.042943103,0.032637405,0.047071983,0.035594757,-0.000279772,-0.000282951,0.000715326,0,0,0,0,1,0,0,40.37873748,39.37066689,40.47266152,137.8336186,134.2613191,133.4037118,3856.894124,3461.259377,3659.414334,3432.319199,281.7179383,5.845234753,116.3441498,0.004794891,0.063765665,13298.31907
17:40.4,0,1,0,0,0,0,0,735087,0.034083503,0.031460716,0.042943103,0.032962752,0.04669954,0.03570361,-0.000295668,-0.000279772,0.000728042,0,0,0,0,1,0,0,40.33316,40.98261512,39.20225273,133.6387407,136.5316373,136.3323783,3604.93844,3851.396749,3594.260414,3455.477664,284.2342368,5.832628233,116.0922112,0.00480361,0.066673833,13868.41582
17:40.4,0,1,0,0,0,0,0,735088,0.034236003,0.031953603,0.041961417,0.033080266,0.046449585,0.035512899,-0.000302026,-0.000343356,0.000680354,0,0,0,0,1,0,0,39.52682868,40.31944819,40.651502,138.1048135,132.6499791,135.9993261,3717.878082,3525.205201,3854.110325,3470.639999,286.0009592,5.822168134,115.8813271,0.004826687,0.069576719,13940.4701
17:40.4,0,1,0,0,0,0,0,735089,0.034538982,0.031871984,0.04139899,0.033197365,0.045818733,0.035321158,-0.000302026,-0.000365611,0.00065492,0,0,0,0,1,0,0,40.74798973,40.00656779,39.3388736,134.4461947,137.4070633,133.9636946,3749.763114,3791.980977,3477.849571,3445.933201,283.3216827,5.835377688,116.1444399,0.004824999,0.072486196,13324.14715
17:40.4,0,1,0,0,0,0,0,735090,0.034988532,0.031790156,0.041272965,0.033430332,0.045563947,0.035512899,-0.000343356,-0.000352894,0.000629487,0,0,0,0,1,0,0,39.4034909,40.59617417,40.22797857,135.7461993,132.3875624,137.3812789,3548.188541,3567.379503,3865.449551,3433.442453,282.2864836,5.835377688,116.1478222,0.004796019,0.075395757,13501.13224
17:40.4,0,1,0,0,0,0,0,735091,0.035285051,0.031127789,0.041019754,0.03348832,0.045243446,0.035812132,-0.000330639,-0.000298847,0.000626307,0,0,0,0,1,0,0,40.66651013,39.91371859,39.9095266,136.9965364,135.9456188,132.8916432,3886.104247,3620.254162,3536.307369,3453.461793,284.4941008,5.823895,115.9185052,0.004802583,0.078299575,13863.30739
17:40.4,0,1,0,0,0,0,0,735092,0.034463487,0.030706554,0.04139899,0.033138867,0.045157595,0.036189396,-0.00028613,-0.000311564,0.00065492,0,0,0,0,1,0,0,39.8067534,41.12384826,39.56543183,135.8328244,137.7874991,137.7403679,3639.228597,3925.671868,3756.614518,3540.546219,291.2961635,5.832068055,116.0664992,0.004928457,0.081207099,13933.0734
17:40.4,0,1,0,0,0,0,0,735093,0.034236003,0.03036536,0.040764971,0.03325576,0.045307728,0.036082009,-0.000292489,-0.000308385,0.000619949,0,0,0,0,1,0,0,40.50665806,40.19279193,41.04934107,145.5023476,140.064516,143.5575093,4170.091581,3854.095298,4205.105646,3823.48086,310.8076405,5.904519762,117.4731505,0.005226884,0.084149861,13985.29277
17:40.4,0,1,0,0,0,0,0,735094,0.034083503,0.029583288,0.041649895,0.033197365,0.045500027,0.036376561,-0.000273413,-0.000302026,0.000661279,0,0,0,0,1,0,0,41.87707038,41.70253681,41.12843712,153.1550715,149.8934872,149.0760366,4666.22287,4480.814801,4452.815802,4252.820577,341.1868732,5.984738622,119.0299165,0.005554595,0.08713162,15753.62405
17:40.4,0,1,0,0,0,0,0,735095,0.034538982,0.030020287,0.041209808,0.033080266,0.04586106,0.03624297,-0.000273413,-0.000251159,0.0006581,0,0,0,0,1,0,0,43.29641975,42.95635796,42.45081057,160.1025747,160.3309957,156.4115701,5236.7903,5071.742875,4904.829317,4759.030922,374.1876649,6.10825693,121.4508173,0.005847178,0.090174025,17020.62885
17:40.4,0,1,0,0,0,0,0,735096,0.033776438,0.03036536,0.041019754,0.033314052,0.046303155,0.036589291,-0.00024798,-0.000267055,0.000677175,0,0,0,0,1,0,0,44.58054461,46.26922555,43.77738993,164.6800737,168.48184,168.7552335,5519.40713,6067.263941,5652.707622,5399.191603,410.2003796,6.322909738,125.6909659,0.006067055,0.093322647,17587.42016
17:40.4,0,1,0,0,0,0,0,735097,0.033776438,0.029671202,0.040892561,0.033168129,0.046491338,0.03640322,-0.000241621,-0.000232083,0.0006581,0,0,0,0,1,0,0,45.97021887,47.40559932,47.6917475,175.7113788,171.4606296,177.553769,6219.884187,6275.502262,6780.09934,6043.841848,439.0512827,6.613536148,131.4526129,0.006185118,0.096615601,17982.76307
17:40.4,0,1,0,0,0,0,0,735098,0.032116217,0.029228984,0.041336026,0.033050927,0.046407795,0.036562767,-0.000197112,-0.00020347,0.000680354,0,0,0,0,1,0,0,49.85257174,50.31949151,50.12540464,183.362867,181.1343315,182.7463632,7264.660315,7092.425194,7305.320464,6803.188673,469.0239739,6.968289864,138.5124641,0.006122974,0.100085408,18658.47918
17:40.4,0,1,0,0,0,0,0,735099,0.031871984,0.028598392,0.042147225,0.033021561,0.046906818,0.037089635,-0.000200291,-0.00020665,0.000699429,0,0,0,0,1,0,0,51.99600425,54.20753594,53.72038432,189.9006649,186.3679065,192.2056768,7821.619529,8041.49901,8429.485995,7643.114942,494.3189484,7.427562273,147.6503615,0.006064466,0.103784124,18324.35294
17:40.4,0,1,0,0,0,0,0,735100,0.031211353,0.028507169,0.042023444,0.032933308,0.047236571,0.036906087,-0.00016532,-0.000193933,0.000680354,0,0,0,0,1,0,0,56.4369291,57.12749683,57.1978662,197.7821351,195.1313864,196.696618,9020.444194,8897.152259,9159.02508,8532.757205,514.9813903,7.95829472,158.2228616,0.005924842,0.107747687,18302.58482
17:40.4,0,1,0,0,0,0,0,735101,0.030536433,0.028415653,0.042516405,0.033517277,0.047625188,0.036853477,-0.00016532,-0.000181216,0.000715326,0,0,0,0,1,0,0,60.53525474,61.87617065,60.16952153,201.5542873,203.1206952,204.8006428,9753.123019,10238.52603,10058.83235,9485.486431,534.9900441,8.514481537,169.3110446,0.005746599,0.111989014,19091.23587
17:40.4,0,1,0,0,0,0,0,735102,0.030791262,0.029317961,0.042455098,0.034233233,0.047604813,0.03664228,-0.000197112,-0.000146244,0.000708967,0,0,0,0,1,0,0,65.47390215,65.87690727,64.65181962,209.57939,207.1683573,208.3319709,11097.76346,11042.8525,10948.39336,10464.11302,549.1982063,9.14749792,181.9469139,0.005482617,0.116546876,18577.30349
17:40.4,0,1,0,0,0,0,0,735103,0.031211353,0.029583288,0.042147225,0.034459197,0.047706599,0.036721621,-0.000213008,-0.000139886,0.000712146,0,0,0,0,1,0,0,70.42205818,68.7719986,69.25526153,212.091279,211.8276846,207.6947395,12205.93797,11749.55065,11537.53838,11245.40319,551.1276665,9.793194678,194.8472138,0.005190746,0.121427897,18476.41482
17:40.4,0,1,0,0,0,0,0,735104,0.031543398,0.029317961,0.041461858,0.034459197,0.047645554,0.036853477,-0.000235263,-0.000127169,0.000673996,0,0,0,0,1,0,0,72.94928855,74.3718156,74.22087907,210.0251416,209.821183,214.4367105,12278.26171,12551.17344,12938.11585,11988.53467,550.4562722,10.4498367,207.9766895,0.004880672,0.126637818,18248.83998
17:40.4,0,1,0,0,0,0,0,735105,0.031211353,0.029228984,0.041837087,0.034962278,0.047726929,0.03677442,-0.000238442,-0.000155782,0.000686713,0,0,0,0,1,0,0,78.50934782,79.08019163,77.84164695,212.7304638,210.1092882,212.5849739,13384.60303,13394.65357,13380.83388,12771.75313,550.7336285,11.12364488,221.4523541,0.004587271,0.132185312,17978.39921
17:40.4,0,1,0,0,0,0,0,735106,0.031708117,0.029317961,0.041649895,0.034767501,0.047216029,0.03642986,-0.00024798,-0.000139886,0.000651741,0,0,0,0,1,0,0,82.88041962,81.8507975,83.43505097,214.8008446,209.443907,210.2304581,14398.60989,13565.65211,14163.31098,13417.22864,546.2323457,11.77900181,234.5615316,0.00432339,0.138061197,18056.3424
17:40.4,0,1,0,0,0,0,0,735107,0.032278013,0.03027946,0.041272965,0.034906738,0.047339148,0.03674803,-0.0002448,-0.00020665,0.000664458,0,0,0,0,1,0,0,87.92679693,87.35943611,86.10918799,211.9307345,212.8867546,209.4959193,14967.48135,14895.47043,14384.94273,14111.12662,543.8361274,12.43980007,247.7792968,0.004086499,0.144268193,17837.97828
